,Component 1,Component 2,Component 3,Taxonomy (contained),,,,,,
MAG003,-0.087143803,-0.051151348,-0.046649518,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Porphyromonadaceae,g__Porphyromonas,
MAG132,-0.079811062,-0.050055159,-0.029937459,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Actinomycetaceae,g__Actinomyces_2,
MAG117,-0.072139138,-0.049443539,0.159999186,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacteriales,f__Enterobacteriaceae,,
MAG075,-0.098507065,-0.049182272,0.066255809,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Alcaligenaceae,g__Oligella,
MAG104,-0.083360197,-0.048331489,-0.058000978,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Clostridiales_Family_XI._Incertae_Sedis,g__Anaerococcus,
MAG035,-0.080116204,-0.046472721,-0.066130513,k__Bacteria,p__Proteobacteria,c__Epsilonproteobacteria,o__Campylobacterales,f__Campylobacteraceae,g__Campylobacter,
MAG068,-0.093838604,-0.046278253,-0.012046848,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Aerococcaceae,g__Eremococcus,
MAG082,-0.093820455,-0.041772592,0.076946253,k__Bacteria,p__Fusobacteria,c__Fusobacteriia,o__Fusobacteriales,f__Fusobacteriaceae,g__Fusobacterium,s__Fusobacterium_nucleatum
MAG155,-0.095729907,-0.039865871,0.0960327,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Actinomycetaceae,g__Actinomyces,s__Actinomyces_naeslundii
MAG111,-0.081249801,-0.038788365,-0.06034822,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,,,
MAG013,-0.101561993,-0.037204465,0.054547008,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,,,
MAG032,-0.10312658,-0.035536395,0.098261069,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,
MAG116,-0.096187593,-0.035288648,0.143014767,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacteriales,f__Enterobacteriaceae,g__Enterobacter,
MAG085,-0.092986867,-0.035238486,-0.00416223,k__Bacteria,p__Fusobacteria,c__Fusobacteriia,o__Fusobacteriales,f__Leptotrichiaceae,g__Leptotrichia,
MAG064,-0.073767283,-0.034905306,-0.056538245,k__Bacteria,p__Firmicutes,c__Negativicutes,o__Selenomonadales,f__Veillonellaceae,g__Dialister,
MAG101,-0.083442346,-0.033935587,-0.047239868,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Clostridiales_Family_XI._Incertae_Sedis,g__Peptoniphilus,
MAG067,-0.105301018,-0.033059044,0.128323318,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rickettsiales,,,
MAG107,-0.100637775,-0.032958672,0.029500105,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Clostridiales_Family_XI._Incertae_Sedis,,
MAG054,-0.094614067,-0.032885824,0.026168421,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Bifidobacteriales,f__Bifidobacteriaceae,g__Bifidobacterium,s__Bifidobacterium_dentium
MAG119,-0.094043096,-0.032850932,0.120189487,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pasteurellales,f__Pasteurellaceae,g__Haemophilus,s__Haemophilus_parainfluenzae
MAG115,-0.101280481,-0.031524416,0.145881047,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacteriales,f__Enterobacteriaceae,g__Enterobacter,s__Enterobacter_cloacae
MAG121,-0.104894309,-0.031208366,0.128695027,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pasteurellales,f__Pasteurellaceae,g__Aggregatibacter,
MAG124,-0.104391793,-0.031016572,0.130081802,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Neisseriales,f__Neisseriaceae,g__Neisseria,
MAG008,-0.102787613,-0.030029889,0.11738429,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Porphyromonadaceae,g__Porphyromonas,
MAG002,-0.105558053,-0.028670415,0.126025297,k__Bacteria,p__Bacteroidetes,c__Flavobacteriia,o__Flavobacteriales,f__Flavobacteriaceae,g__Capnocytophaga,
MAG118,-0.09948954,-0.028421061,0.122483509,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pasteurellales,f__Pasteurellaceae,g__Haemophilus,s__Haemophilus_parainfluenzae
MAG098,-0.086853192,-0.028204938,-0.04444604,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Clostridiales_Family_XI._Incertae_Sedis,,
MAG123,-0.083534274,-0.027885392,0.096160744,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Xanthomonadaceae,g__Xanthomonas,s__Xanthomonas_campestris
