,Component 1,Component 2,Component 3,Component 4,Component 5
EP566677,-0.075421257,0.001226689,0.02831822,0.05787509,0.010563368
EP569649,0.14340609,-0.044588935,0.005980809,0.001726422,0.00090736
EP573286,0.044384695,-0.083396545,0.028457858,-0.01399758,0.006949824
EP575820,0.101957914,-0.023557563,0.011343301,-0.006861559,0.051540712
EP580652,0.105752702,0.014283983,-0.000411682,0.051771111,0.004158688
EP583097,-0.046160641,0.031896989,0.033458753,0.053329426,0.007749011
EP584338,0.015310212,-0.06033337,0.002143961,-0.003165412,7.09E-05
EP596677,0.07741677,-0.033743802,0.009743296,-0.010682185,0.015521816
EP598179,0.084931229,0.134757889,0.048689888,0.070744821,-0.003089988
EP604653,0.078742076,-0.037860991,0.015215214,0.099378274,0.014247311
EP607311,0.018145121,0.015780218,-0.099281862,-0.034934638,0.05262072
EP628259,0.052119567,-0.005286808,0.010715182,0.109029831,-0.00208827
EP637055,0.062681346,-0.067591446,-0.005031676,0.007098916,0.181027201
EP642005,0.203377783,-0.075740968,-0.003095842,-0.009960832,0.006167216
EP642999,0.135044531,0.040889916,-0.012007256,-0.011449291,-0.000711012
EP643672,-0.108287791,-0.010848137,0.024830231,0.003376203,-0.004535757
EP646235,0.139826866,-0.063867955,-0.022382012,-0.000749188,-0.001835323
EP656868,0.046029149,0.012992006,0.010794821,-0.007283666,0.006374215
EP658321,-0.093642031,0.23597772,0.046569992,0.071570727,-0.011924801
EP663155,0.120994374,0.023974351,0.039759095,0.028055162,0.01413163
EP673818,0.096798406,0.056187393,-0.00844043,0.044976876,0.001781076
EP678863,-0.157480153,-0.070515175,-0.018013124,0.016574124,-0.239166035
EP694646,0.091583662,-0.043470263,0.027341586,-0.008355781,0.003667219
EP707684,0.104167092,0.152155575,0.080184793,-0.025424519,-0.005221661
EP708835,-0.017498164,-0.108219548,0.021843491,-0.003410076,0.000673473
EP717203,0.06649003,-0.084394574,0.027764863,0.11880529,0.007538264
EP733790,0.142597824,-0.060769803,-0.00252973,0.022469565,0.003294176
EP739912,0.08245226,0.19867847,0.369766459,0.024554347,-0.000138984
EP740843,-0.058881828,0.306787297,0.077640114,-0.076051489,-0.004933163
EP758715,0.098434648,-0.03500467,0.00666856,0.026650955,-0.028056642
EP759641,-0.123358083,-0.022511219,0.025666084,-0.024178925,-0.000456722
EP785033,0.096417953,0.087645999,-0.008956257,0.041387842,-0.003811842
EP786740,-0.122734513,0.053334416,-0.02079118,-0.158621243,-0.002855105
EP791888,-0.067086127,-0.016536573,-0.044558013,-0.005066139,-0.001068336
EP792982,0.049615799,-0.017871391,0.004659482,0.002381765,-0.002257429
EP804124,-0.091649187,-0.061134117,0.047173493,-0.031076517,0.001710049
EP809211,0.061873434,-0.038515789,0.00780048,0.00157358,0.009355988
EP824061,0.076823586,-0.03332746,-0.00331091,-0.025538871,0.007923356
EP828081,0.058097183,0.079073214,-0.022849517,0.000859537,-0.001020851
EP840663,0.005694529,0.001361117,0.07899558,0.022590698,0.003985733
EP841683,-0.074501349,-0.021155641,0.238989671,0.031835647,-0.005434533
EP845775,-0.097838474,-0.0715937,0.013783257,-0.001561863,0.000589227
EP850673,0.081365284,0.040459833,0.014306004,-0.772401297,0.003408281
EP860829,0.036025739,-0.06122551,0.04785821,-0.092805752,-0.033874591
EP861388,-0.0720685,-0.05790232,0.08687009,-0.020895602,0.003799032
EP873739,0.043898682,0.173221964,-0.028673322,0.087181341,0.034244534
EP883575,-0.023770585,0.107726992,0.084513315,0.020880543,-0.010483418
EP888674,0.063421636,0.032767814,-0.010546386,0.027396286,0.864551323
EP891541,0.028792957,-0.025842883,0.00705003,0.287652861,0.152436297
EP897729,0.092505321,0.140979993,-0.023789547,-0.005630203,-0.006314667
EP908409,-0.035133907,-0.051436794,0.000284836,0.00424439,0.001188371
EP912323,-0.093298866,0.077193894,0.001462598,0.020782967,-1.56E-05
EP919343,0.072221289,-0.035034442,-0.026607973,0.011774462,0.002261833
EP925066,-0.05654221,0.001181278,0.0102385,-0.245368016,0.000116281
EP926575,0.051145856,-0.074163253,-0.002859,-0.018812002,-0.003119215
EP941670,0.041864618,-0.077694215,0.060600329,-0.024767268,-0.008084649
EP954767,-0.080564934,-0.011812054,0.079111465,0.009517983,-0.022804912
EP977267,-0.046659805,0.146762008,-0.080425289,0.008809451,0.007934145
EP982160,-0.028349897,0.035913894,0.004850205,-0.043795111,0.007595809
EP982951,-0.00540641,0.018195134,0.060933508,0.015874764,0.039408963
EP996091,0.044652426,0.073767736,-0.014752215,0.036168182,0.017343888
