,count
SRR6744964,17
SRR6744965,8
SRR6744966,7
SRR6744968,7
SRR6744970,8
SRR6744974,9
SRR6744975,1
SRR6744978,32
SRR6744987,10
SRR6744990,6
SRR6744994,4
SRR6744996,9
SRR6744997,1
SRR6745000,8
SRR6745008,8
SRR6745009,3
SRR6745010,1
SRR6745014,1
SRR6745017,2
SRR6745021,11
SRR6745022,7
SRR6745025,15
SRR6745028,3
SRR6745029,16
SRR6745030,16
SRR6745033,4
SRR6745034,4
SRR6745036,4
SRR6745037,1
SRR6745040,5
SRR6745041,5
SRR6745043,5
SRR6745048,7
SRR6745050,6
SRR6745053,5
SRR6745059,6
SRR6745062,2
SRR6745064,5
SRR6745072,3
SRR6745074,5
SRR6745076,2
SRR6745079,3
SRR6745080,4
SRR6745092,4
SRR6745095,1
SRR6745096,2
SRR6745099,2
SRR6745103,6
SRR6745111,5
SRR6745112,1
SRR6745121,1
SRR6745123,6
SRR6745127,1
SRR6745130,15
SRR6745133,11
SRR6745136,2
SRR6745148,5
SRR6745149,72
SRR6745160,2
SRR6745162,18
SRR6745172,4
SRR6745175,7
SRR6745184,3
SRR6745186,2
SRR6745187,3
SRR6745190,19
SRR6745192,7
SRR6745200,3
SRR6745205,3
SRR6745208,10
SRR6745214,7
SRR6745216,1
SRR6745218,12
SRR6745221,1
SRR6745225,3
SRR6745227,4
SRR6745231,3
SRR6745233,5
SRR6745236,2
SRR6745240,8
SRR6745244,4
SRR6745246,1
SRR6745247,6
SRR6745249,1
SRR6745251,5
SRR6745255,5
SRR6745257,7
SRR6745258,3
SRR6745259,3
SRR6745266,6
SRR6745271,3
SRR6745272,2
SRR6745273,5
SRR6745279,5
SRR6745280,5
SRR6745282,1
SRR6745283,3
